Date,Store,Platform,Availability%,Serviceability%,KPT,Cancellation%,Rating,Review Count
2026-08-18,Ardee Mall,Swiggy,,,,,4.2,5000
2026-08-18,Ambience Mall,Swiggy,,,,,4.3,616
2026-08-18,"Promenade Mall, Vasant Kunj",Swiggy,,,,,4.3,2900
2026-08-18,DLF Mall of India,Swiggy,,,,,4.5,2300
2026-08-18,Nexus Select CityWalk Mall,Swiggy,,,,,4.3,3800
2026-08-18,Worldmark 1 (Aerocity),Swiggy,,,,,4.8,501
2026-08-18,Worldmark Sec-65,Swiggy,,,,,4.3,434
2026-08-18,GK1,Swiggy,,,,,4.3,2500
2026-08-18,Dwarka,Swiggy,,,,,4.2,196
2026-08-18,Model Town,Swiggy,,,,,4.6,1600
2026-08-18,Vasant Kunj,Swiggy,,,,,4.0,122
2026-08-18,Sohna Road,Swiggy,,,,,,
2026-08-18,Udyog Vihar Kitchen,Swiggy,,,,,4.1,109
2026-08-18,Mayur Vihar,Swiggy,,,,,4.1,151
2026-08-18,Gaur City,Swiggy,,,,,4.1,114
2026-08-18,Alpha 2,Swiggy,,,,,4.2,154
2026-08-18,Dilshad Garden,Swiggy,,,,,3.5,124
2026-08-18,Sector 31,Swiggy,,,,,4.1,102
2026-08-18,Rohini Kitchen,Swiggy,,,,,4.1,150
2026-08-18,Saket,Swiggy,,,,,4.2,182
2026-08-18,Sector 10,Swiggy,,,,,4.1,113
2026-08-18,Hauz Khas,Swiggy,,,,,3.9,198
2026-08-18,Sector 49,Swiggy,,,,,4.2,175
2026-08-18,Sector 63,Swiggy,,,,,3.9,109
2026-08-18,Vasundhra,Swiggy,,,,,4.1,119
2026-08-18,Janakpuri,Swiggy,,,,,4.3,133
2026-08-18,Shipra Mall,Swiggy,,,,,4.3,626
2026-08-18,Pacific Mall NSP,Swiggy,,,,,4.3,82
2026-08-18,Kamla Nagar,Swiggy,,,,,4.1,718
2026-08-18,Sector 15A,Swiggy,,,,,4.1,43
2026-08-18,Sikandarpur,Swiggy,,,,,3.9,76
2026-08-18,Malviya Nagar,Swiggy,,,,,4.1,75
2026-08-18,Punjabi Bagh,Swiggy,,,,,4.1,61
2026-08-18,Noida Sec 51,Swiggy,,,,,3.3,41
2026-08-18,Noida 141,Swiggy,,,,,3.7,58
2026-08-18,IRIS Broadway Mall,Swiggy,,,,,4.4,84
2026-08-18,KLJ Square,Swiggy,,,,,4.2,18
2026-08-18,Elan Miracle,Swiggy,,,,,4.2,2
2026-08-18,Omaxe Chandni Chowk,Swiggy,,,,,4.2,2
2026-08-18,Ardee Mall,Zomato,,,,,4.1,7628
2026-08-18,Ambience Mall,Zomato,,,,,4.1,831
2026-08-18,"Promenade Mall, Vasant Kunj",Zomato,,,,,4.2,3431
2026-08-18,DLF Mall of India,Zomato,,,,,4.1,1534
2026-08-18,Nexus Select CityWalk Mall,Zomato,,,,,4.0,5335
2026-08-18,Worldmark 1 (Aerocity),Zomato,,,,,4.2,765
2026-08-18,Worldmark Sec-65,Zomato,,,,,4.1,955
2026-08-18,GK1,Zomato,,,,,4.3,4055
2026-08-18,Dwarka,Zomato,,,,,4.2,383
2026-08-18,Model Town,Zomato,,,,,4.1,304
2026-08-18,Vasant Kunj,Zomato,,,,,3.8,256
2026-08-18,Sohna Road,Zomato,,,,,4.0,464
2026-08-18,Udyog Vihar Kitchen,Zomato,,,,,4.0,274
2026-08-18,Mayur Vihar,Zomato,,,,,3.8,281
2026-08-18,Gaur City,Zomato,,,,,3.7,208
2026-08-18,Alpha 2,Zomato,,,,,4.0,389
2026-08-18,Dilshad Garden,Zomato,,,,,3.7,203
2026-08-18,Sector 31,Zomato,,,,,4.1,216
2026-08-18,Rohini Kitchen,Zomato,,,,,4.1,230
2026-08-18,Saket,Zomato,,,,,4.1,519
2026-08-18,Sector 10,Zomato,,,,,3.9,213
2026-08-18,Hauz Khas,Zomato,,,,,3.7,462
2026-08-18,Sector 49,Zomato,,,,,4.1,366
2026-08-18,Sector 63,Zomato,,,,,3.7,154
2026-08-18,Vasundhra,Zomato,,,,,3.9,175
2026-08-18,Janakpuri,Zomato,,,,,3.9,207
2026-08-18,Shipra Mall,Zomato,,,,,3.9,160
2026-08-18,Pacific Mall NSP,Zomato,,,,,3.9,94
2026-08-18,Kamla Nagar,Zomato,,,,,4.1,1419
2026-08-18,Sector 15A,Zomato,,,,,4.0,196
2026-08-18,Sikandarpur,Zomato,,,,,3.8,221
2026-08-18,Malviya Nagar,Zomato,,,,,3.9,193
2026-08-18,Punjabi Bagh,Zomato,,,,,4.1,134
2026-08-18,Noida Sec 51,Zomato,,,,,3.7,123
2026-08-18,Noida 141,Zomato,,,,,3.7,178
2026-08-18,IRIS Broadway Mall,Zomato,,,,,4.1,271
2026-08-18,KLJ Square,Zomato,,,,,4.2,72
2026-08-18,Elan Miracle,Zomato,,,,,2.3,3
2026-08-18,Omaxe Chandni Chowk,Zomato,,,,,,
